epoch,UpDownScore,MSE,RMSE
0,,0,0
1,0.3960674,615666.5311,784.6442067
3,0.43539324,725451.8477,851.7346111
5,0.4241573,742879.5874,861.9046278
7,0.44382024,745291.8755,863.3028874
9,0.3988764,683543.7448,826.7670438
11,0.41292134,676577.2641,822.5431686
13,0.41292134,714505.9329,845.2845278
15,0.38764045,657287.2184,810.7325196
17,0.4241573,720091.2614,848.581912
19,0.41853932,745226.8343,863.2652167
21,0.41292134,695001.719,833.667631
23,0.44101125,723171.4458,850.3948764
25,0.41573033,681024.9351,825.2423493
27,0.42977527,710320.1929,842.8049554
29,0.44101125,773311.5135,879.3813243
31,0.45786518,738092.8286,859.1232907
33,0.3988764,743055.8367,862.0068658
35,0.4522472,801625.8597,895.3356129
37,0.41853932,695915.6215,834.2155726
39,0.37921348,679434.5018,824.2781702
41,0.39325842,686688.0205,828.6664108
43,0.35955057,695473.325,833.9504332
45,0.40730336,658422.6165,811.4324473
47,0.3483146,717871.6019,847.2730386
49,0.3988764,652964.672,808.0622946
51,0.39044943,677821.4827,823.2991453
53,0.39325842,701162.3258,837.354361
55,0.42696628,731269.4942,855.1429671
57,0.40449437,707326.5934,841.0271062
59,0.3960674,714908.3038,845.5225034
61,0.43258426,682041.7895,825.8582139
63,0.38483146,717645.3083,847.1394857
65,0.39325842,716890.6698,846.6939647
67,0.38764045,704066.8183,839.0868956
69,0.41292134,688871.4111,829.9827776
71,0.4213483,708844.4913,841.9290298
73,0.41011235,760626.6796,872.13914
75,0.41573033,741234.9638,860.9500356
77,0.38483146,716048.5512,846.1965205
79,0.4016854,703093.0843,838.5064605
81,0.40730336,675751.9649,822.0413402
83,0.39044943,677889.1656,823.340249
85,0.4550562,713003.7874,844.395516
87,0.4494382,754715.1406,868.7434262
89,0.43539324,739395.512,859.8811034
91,0.42696628,676655.586,822.5907767
93,0.3764045,645335.3781,803.3276903
95,0.3960674,689146.1965,830.1482979
97,0.43820226,790019.2827,888.830289
99,0.4550562,664033.368,814.8824259
